,family,surname
1,Abbott family,Abbott
118,Avery family,Avery
123,Bagman family,Bagman
201,Black family,Black
227,Bobbin family,Bobbin
239,Bones family,Bones
282,Bulstrode family,Bulstrode
289,Burke family,Burke
293,Calderon-Boot family,Calderon-Boot
309,Carrow family,Carrow
315,Cattermole family,Cattermole
376,Crabbe family,Crabbe
381,Creevey family,Creevey
385,Cresswell family,Cresswell
397,Crouch family,Crouch
429,Delacour family,Delacour
459,Diggory family,Diggory
501,Dumbledore family,Dumbledore
509,Dursley family,Dursley
590,Evans family,Evans
604,Fawcett family,Fawcett
606,Fawley family,Fawley
622,Finch-Fletchley family,Finch-Fletchley
628,Finnigan family,Finnigan
646,Flint family,Flint
657,Fontaine family,Fontaine
671,Fudge family,Fudge
681,Gamp family,Gamp
689,Gaunt family,Gaunt
726,Goldstein family,Goldstein
740,Goshawk family,Goshawk
746,Goyle family,Goyle
750,Granger family,Granger
755,Graves family,Graves
766,Greengrass family,Greengrass
810,Hagrid family,Hagrid
874,Hobday family,Hobday
961,Jordan family,Jordan
963,Jorkins family,Jorkins
1027,Lamont family,Lamont
1051,Lestrange family,Lestrange
1058,Levski family,Levski
1072,Longbottom family,Longbottom
1083,Lovegood family,Lovegood
1098,Lupin family,Lupin
1105,MacBoon family,MacBoon
1112,Macmillan family,Macmillan
1145,Malfoy family,Malfoy
1191,McGonagall family,McGonagall
1321,Nott family,Nott
1347,Ollivander family,Ollivander
1373,Parkin family,Parkin
1374,Parkinson family,Parkinson
1410,Peverell family,Peverell
1456,Potter family,Potter
1470,Prewett family,Prewett
1479,Prod family,Prod
1552,Riddle family,Riddle
1591,Rosier family,Rosier
1596,Rowle family,Rowle
1636,Scamander family,Scamander
1649,Selwyn family,Selwyn
1654,Shacklebolt family,Shacklebolt
1656,Shafiq family,Shafiq
1687,Slughorn family,Slughorn
1703,Snape family,Snape
1726,Spudmore family,Spudmore
1810,Tonks family,Tonks
1818,Travers family,Travers
1842,Umbridge family,Umbridge
1889,Vulchanov family,Vulchanov
1915,Weasley family,Weasley
1981,Wood family,Wood
1998,Yaxley family,Yaxley
